REPDTE,ASSET,CERT,INTINC,NETINC,NONII,LNLSNET,DEP,NPERFV,ID
20260331,87128815,32541,984006.0,20863.0,63474.0,59704406,66832203,3.3348726250896443,32541_20260331
20260331,85527350,18221,995270.0,261896.0,99046.0,56529586,69386441,0.6265831923940121,18221_20260331
20260331,83823830,4977,1008451.0,292686.0,190279.0,64216079,67203642,0.7449206269863833,4977_20260331
20260331,82474471,31628,1055652.0,360281.0,102780.0,57292460,69086073,0.2622920733859572,31628_20260331
20260331,72614322,3832,875438.0,244045.0,121085.0,49213614,56500217,0.71544701608589,3832_20260331
20260331,72349509,8273,866514.0,250608.0,163042.0,39712920,60331165,0.2364231663272241,8273_20260331
20260331,67870584,33555,816151.0,238343.0,106939.0,49238836,55918390,0.4834524482653634,33555_20260331
20260331,66011146,17266,817832.0,198193.0,80596.0,47319580,53614966,0.4061677705156035,17266_20260331
20260331,65130106,33306,809748.0,196546.0,57764.0,40701469,50964108,0.9402241722130776,33306_20260331
20260331,64388074,9396,802569.0,169863.0,67540.0,50250829,52955541,0.6965715421150818,9396_20260331
20260331,60625000,34968,747000.0,198000.0,130000.0,26810000,55950000,1.1397938144329898,34968_20260331
20260331,53519366,33692,,,,26093607,48565784,0.0,33692_20260331
20260331,53492601,4214,615420.0,152869.0,173960.0,25970155,38855031,0.2699214420327028,4214_20260331
20260331,52769892,5510,578589.0,174000.0,135646.0,22146209,43235075,0.1684578016570509,5510_20260331
20260331,50421258,7888,573815.0,144951.0,80162.0,34945632,39273470,0.2694676915835777,7888_20260331
20260331,49667835,26881,985496.0,244608.0,306497.0,40853216,42321604,0.0717385809145898,26881_20260331
20260331,47232699,34775,607174.0,107022.0,26294.0,37090946,37687611,1.182600215160264,34775_20260331
20260331,46648000,57203,1639000.0,162000.0,145000.0,32587000,37458000,1.3376779283141829,57203_20260331
20260331,45736982,33893,511489.0,176069.0,9590.0,36520154,41632357,0.2515601051245576,33893_20260331
20260331,45537550,5296,528043.0,121595.0,75886.0,31499869,35800709,0.3234802926376144,5296_20260331
20260331,44448266,33653,,,,16724168,20172532,0.0,33653_20260331
20260331,43608962,16835,442871.0,121185.0,45133.0,24904145,32946478,0.27969250907646,16835_20260331
20260331,42109827,4063,540984.0,144577.0,47274.0,33380242,24689384,15.553094055693936,4063_20260331
20260331,41663976,110,629016.0,163364.0,32531.0,32495265,33764925,1.0708171490882197,110_20260331
20260331,41210622,33690,,,,33185107,13596402,0.0,33690_20260331
20260331,39745000,623,405000.0,87000.0,91000.0,15673000,27713000,0.3925022015347842,623_20260331
20260331,37228893,34589,471692.0,134167.0,58509.0,27676100,30424485,0.3562340679858517,34589_20260331
20260331,35540239,24998,394455.0,133109.0,173889.0,20264540,28638353,0.0985952851920888,24998_20260331
20260331,35533297,12441,401382.0,50443.0,103710.0,23743614,29315316,0.4340520385710338,12441_20260331
20260331,35341660,58979,422786.0,73425.0,19133.0,23962816,29564537,1.3474550997321575,58979_20260331
20260331,34725218,5452,662468.0,148345.0,110154.0,23638397,28560248,0.5560224272746106,5452_20260331
20260331,34642892,24045,407440.0,80722.0,31795.0,24797805,27440681,1.0212311374004226,24045_20260331
20260331,33609082,22858,415890.0,125842.0,31312.0,24592774,27304038,0.3368851312273271,22858_20260331
20260331,33205747,34383,418291.0,77480.0,43198.0,24930554,29118492,0.5550545211345493,34383_20260331
20260331,32718396,33947,771034.0,10208.0,-107618.0,7876586,27662398,0.5861136957936447,33947_20260331
